# Energy	Counts
3.3003e+01	0.0000e+00
3.3503e+01	0.0000e+00
3.4003e+01	0.0000e+00
3.4503e+01	0.0000e+00
3.5004e+01	0.0000e+00
3.5504e+01	0.0000e+00
3.6004e+01	0.0000e+00
3.6504e+01	0.0000e+00
3.7004e+01	0.0000e+00
3.7504e+01	0.0000e+00
3.8004e+01	0.0000e+00
3.8504e+01	0.0000e+00
3.9004e+01	0.0000e+00
3.9504e+01	0.0000e+00
4.0004e+01	0.0000e+00
4.0504e+01	0.0000e+00
4.1004e+01	0.0000e+00
4.1504e+01	0.0000e+00
4.2004e+01	0.0000e+00
4.2504e+01	0.0000e+00
4.3004e+01	0.0000e+00
4.3504e+01	0.0000e+00
4.4004e+01	0.0000e+00
4.4504e+01	0.0000e+00
4.5005e+01	0.0000e+00
4.5505e+01	0.0000e+00
4.6005e+01	0.0000e+00
4.6505e+01	0.0000e+00
4.7005e+01	0.0000e+00
4.7505e+01	0.0000e+00
4.8005e+01	0.0000e+00
4.8505e+01	0.0000e+00
4.9005e+01	0.0000e+00
4.9505e+01	0.0000e+00
5.0005e+01	0.0000e+00
5.0505e+01	0.0000e+00
5.1005e+01	0.0000e+00
5.1505e+01	0.0000e+00
5.2005e+01	0.0000e+00
5.2505e+01	0.0000e+00
5.3005e+01	0.0000e+00
5.3505e+01	0.0000e+00
5.4005e+01	0.0000e+00
5.4505e+01	0.0000e+00
5.5006e+01	0.0000e+00
5.5506e+01	0.0000e+00
5.6006e+01	0.0000e+00
5.6506e+01	0.0000e+00
5.7006e+01	0.0000e+00
5.7506e+01	0.0000e+00
5.8006e+01	0.0000e+00
5.8506e+01	0.0000e+00
5.9006e+01	0.0000e+00
5.9506e+01	0.0000e+00
6.0006e+01	0.0000e+00
6.0506e+01	0.0000e+00
6.1006e+01	0.0000e+00
6.1506e+01	0.0000e+00
6.2006e+01	0.0000e+00
6.2506e+01	0.0000e+00
6.3006e+01	0.0000e+00
6.3506e+01	0.0000e+00
6.4006e+01	0.0000e+00
6.4506e+01	0.0000e+00
6.5007e+01	0.0000e+00
6.5507e+01	0.0000e+00
6.6007e+01	0.0000e+00
6.6507e+01	0.0000e+00
6.7007e+01	0.0000e+00
6.7507e+01	0.0000e+00
6.8007e+01	0.0000e+00
6.8507e+01	0.0000e+00
6.9007e+01	0.0000e+00
6.9507e+01	0.0000e+00
7.0007e+01	0.0000e+00
7.0507e+01	0.0000e+00
7.1007e+01	0.0000e+00
7.1507e+01	0.0000e+00
7.2007e+01	0.0000e+00
7.2507e+01	0.0000e+00
7.3007e+01	0.0000e+00
7.3507e+01	0.0000e+00
7.4007e+01	0.0000e+00
7.4507e+01	0.0000e+00
7.5008e+01	0.0000e+00
7.5508e+01	0.0000e+00
7.6008e+01	0.0000e+00
7.6508e+01	0.0000e+00
7.7008e+01	0.0000e+00
7.7508e+01	0.0000e+00
7.8008e+01	0.0000e+00
7.8508e+01	0.0000e+00
7.9008e+01	0.0000e+00
7.9508e+01	0.0000e+00
8.0008e+01	0.0000e+00
8.0508e+01	0.0000e+00
8.1008e+01	0.0000e+00
8.1508e+01	0.0000e+00
8.2008e+01	0.0000e+00
8.2508e+01	0.0000e+00
8.3008e+01	0.0000e+00
8.3508e+01	0.0000e+00
8.4008e+01	0.0000e+00
8.4508e+01	0.0000e+00
8.5009e+01	0.0000e+00
8.5509e+01	0.0000e+00
8.6009e+01	0.0000e+00
8.6509e+01	0.0000e+00
8.7009e+01	0.0000e+00
8.7509e+01	0.0000e+00
8.8009e+01	0.0000e+00
8.8509e+01	0.0000e+00
8.9009e+01	0.0000e+00
8.9509e+01	0.0000e+00
9.0009e+01	0.0000e+00
9.0509e+01	0.0000e+00
9.1009e+01	0.0000e+00
9.1509e+01	0.0000e+00
9.2009e+01	0.0000e+00
9.2509e+01	0.0000e+00
9.3009e+01	0.0000e+00
9.3509e+01	0.0000e+00
9.4009e+01	0.0000e+00
9.4509e+01	0.0000e+00
9.5010e+01	0.0000e+00
9.5510e+01	0.0000e+00
9.6010e+01	0.0000e+00
9.6510e+01	0.0000e+00
9.7010e+01	0.0000e+00
9.7510e+01	0.0000e+00
9.8010e+01	0.0000e+00
9.8510e+01	0.0000e+00
9.9010e+01	0.0000e+00
