1431.5	138
1432.5	119
1433.5	137
1434.5	123
1435.5	141
1436.5	136
1437.5	136
1438.5	145
1439.5	134
1440.5	146
1441.5	133
1442.5	113
1443.5	119
1444.5	110
1445.5	94
1446.5	103
1447.5	85
1448.5	95
1449.5	83
1450.5	82
1451.5	85
1452.5	73
1453.5	92
1454.5	79
1455.5	76
1456.5	76
1457.5	77
1458.5	76
1459.5	88
1460.5	75
1461.5	64
1462.5	70
1463.5	61
1464.5	79
1465.5	77
1466.5	80
1467.5	77
1468.5	86
1469.5	89
1470.5	104
1471.5	93
1472.5	91
1473.5	77
1474.5	65
1475.5	74
1476.5	94
1477.5	85
1478.5	71
1479.5	96
1480.5	75
1481.5	86
1482.5	102
1483.5	90
1484.5	79
1485.5	84
1486.5	83
1487.5	93
1488.5	84
1489.5	106
1490.5	76
1491.5	93
1492.5	113
1493.5	105
1494.5	78
1495.5	88
1496.5	106
1497.5	81
1498.5	98
1499.5	102
1500.5	90
1501.5	94
1502.5	105
1503.5	92
1504.5	102
1505.5	99
1506.5	72
1507.5	90
1508.5	72
1509.5	79
1510.5	85
1511.5	82
1512.5	83
1513.5	69
1514.5	87
1515.5	62
1516.5	70
1517.5	78
1518.5	72
1519.5	87
1520.5	67
1521.5	50
1522.5	56
1523.5	82
1524.5	79
1525.5	67
1526.5	82
1527.5	62
1528.5	77
1529.5	60
1530.5	73
1531.5	67
1532.5	72
1533.5	50
1534.5	59
1535.5	66
1536.5	71
1537.5	76
1538.5	64
1539.5	63
1540.5	70
1541.5	62
1542.5	56
1543.5	52
1544.5	72
1545.5	68
1546.5	72
1547.5	65
1548.5	64
1549.5	74
1550.5	65
1551.5	61
1552.5	72
1553.5	64
1554.5	60
1555.5	70
1556.5	46
1557.5	56
1558.5	49
1559.5	64
1560.5	50
1561.5	66
1562.5	67
1563.5	64
1564.5	47
1565.5	76
1566.5	47
1567.5	52
1568.5	57
1569.5	65
1570.5	70
1571.5	64
1572.5	59
1573.5	47
1574.5	58
1575.5	49
1576.5	54
1577.5	60
1578.5	47
1579.5	50
1580.5	54
1581.5	64
1582.5	44
1583.5	60
1584.5	49
1585.5	46
1586.5	58
1587.5	54
1588.5	43
1589.5	44
1590.5	63
1591.5	60
1592.5	59
1593.5	59
1594.5	53
1595.5	59
1596.5	44
1597.5	45
1598.5	35
1599.5	55
1600.5	55
1601.5	49
1602.5	41
1603.5	48
1604.5	55
1605.5	53
1606.5	57
1607.5	64
1608.5	41
1609.5	63
1610.5	65
1611.5	44
1612.5	61
1613.5	42
1614.5	42
1615.5	62
1616.5	48
1617.5	63
1618.5	52
1619.5	56
1620.5	52
1621.5	58
1622.5	65
1623.5	52
1624.5	55
1625.5	54
1626.5	52
1627.5	41
1628.5	57
1629.5	50
1630.5	55
1631.5	60
1632.5	59
1633.5	66
1634.5	60
1635.5	58
1636.5	51
1637.5	54
1638.5	55
1639.5	65
1640.5	65
1641.5	66
1642.5	70
1643.5	70
1644.5	60
1645.5	71
1646.5	65
1647.5	69
1648.5	82
1649.5	69
1650.5	75
1651.5	76
1652.5	87
1653.5	76
1654.5	92
1655.5	101
1656.5	100
1657.5	86
1658.5	94
1659.5	95
1660.5	86
1661.5	89
1662.5	103
1663.5	115
1664.5	101
1665.5	124
1666.5	135
1667.5	132
1668.5	93
1669.5	136
1670.5	132
1671.5	120
1672.5	111
1673.5	108
1674.5	115
1675.5	103
1676.5	117
1677.5	90
1678.5	100
1679.5	94
1680.5	76
1681.5	72
1682.5	75
1683.5	66
1684.5	76
1685.5	72
1686.5	58
1687.5	67
1688.5	68
1689.5	65
1690.5	54
1691.5	52
1692.5	67
1693.5	53
1694.5	73
1695.5	69
1696.5	66
1697.5	60
1698.5	52
1699.5	65
1700.5	47
1701.5	45
1702.5	48
1703.5	63
1704.5	44
1705.5	44
1706.5	54
1707.5	55
1708.5	65
1709.5	38
1710.5	49
1711.5	52
1712.5	38
1713.5	37
1714.5	44
1715.5	49
1716.5	49
1717.5	40
1718.5	52
1719.5	49
1720.5	47
1721.5	38
1722.5	41
1723.5	41
1724.5	45
1725.5	51
1726.5	38
1727.5	45
1728.5	23
1729.5	39
1730.5	35
1731.5	38
1732.5	40
1733.5	37
1734.5	35
1735.5	40
1736.5	56
1737.5	37
1738.5	47
1739.5	34
1740.5	45
1741.5	33
1742.5	47
1743.5	38
1744.5	43
1745.5	44
1746.5	38
1747.5	39
1748.5	47
1749.5	41
1750.5	44
1751.5	42
1752.5	44
1753.5	55
1754.5	48
1755.5	46
1756.5	39
1757.5	56
1758.5	39
1759.5	52
1760.5	43
1761.5	46
1762.5	34
1763.5	46
1764.5	52
1765.5	38
1766.5	35
1767.5	43
1768.5	47
1769.5	31
1770.5	39
1771.5	32
1772.5	39
1773.5	42
1774.5	39
1775.5	33
1776.5	43
1777.5	39
1778.5	32
1779.5	36
1780.5	35
1781.5	38
1782.5	36
1783.5	24
1784.5	27
1785.5	35
1786.5	32
1787.5	31
1788.5	43
1789.5	36
1790.5	28
1791.5	40
1792.5	30
1793.5	35
1794.5	35
1795.5	34
1796.5	28
1797.5	30
1798.5	35
1799.5	26
1800.5	34
1801.5	37
1802.5	42
1803.5	37
1804.5	38
1805.5	23
1806.5	31
1807.5	30
1808.5	43
1809.5	25
1810.5	28
1811.5	39
1812.5	32
1813.5	33
1814.5	37
1815.5	33
1816.5	41
1817.5	45
1818.5	43
1819.5	44
1820.5	43
1821.5	37
1822.5	36
1823.5	40
1824.5	37
1825.5	37
1826.5	34
1827.5	43
1828.5	23
1829.5	32
1830.5	34
1831.5	32
1832.5	28
1833.5	34
1834.5	41
1835.5	37
1836.5	41
1837.5	27
1838.5	32
1839.5	36
1840.5	40
1841.5	30
1842.5	40
1843.5	31
1844.5	23
1845.5	35
1846.5	28
1847.5	33
1848.5	39
1849.5	42
1850.5	49
1851.5	53
1852.5	42
1853.5	35
1854.5	35
1855.5	50
1856.5	40
1857.5	41
1858.5	38
1859.5	28
1860.5	37
1861.5	52
1862.5	31
1863.5	29
1864.5	35
1865.5	28
1866.5	28
1867.5	21
1868.5	38
1869.5	27
1870.5	35
1871.5	24
1872.5	33
1873.5	31
1874.5	28
1875.5	26
1876.5	43
1877.5	29
1878.5	24
1879.5	35
1880.5	35
1881.5	29
1882.5	24
1883.5	37
1884.5	28
1885.5	39
1886.5	26
1887.5	27
1888.5	30
1889.5	27
1890.5	29
1891.5	30
1892.5	33
1893.5	39
1894.5	36
1895.5	27
1896.5	23
1897.5	29
1898.5	26
1899.5	20
1900.5	19
1901.5	30
1902.5	27
1903.5	18
1904.5	42
1905.5	26
1906.5	21
1907.5	15
1908.5	29
1909.5	28
1910.5	34
1911.5	38
1912.5	25
1913.5	33
1914.5	14
1915.5	32
1916.5	33
1917.5	30
1918.5	17
1919.5	35
1920.5	30
1921.5	27
1922.5	26
1923.5	23
1924.5	20
1925.5	30
1926.5	32
1927.5	36
1928.5	25
1929.5	27
1930.5	35
1931.5	28
1932.5	40
1933.5	30
1934.5	27
1935.5	32
1936.5	20
1937.5	31
1938.5	37
1939.5	26
1940.5	32
1941.5	38
1942.5	33
1943.5	37
1944.5	24
1945.5	40
1946.5	28
1947.5	24
1948.5	44
1949.5	39
1950.5	43
1951.5	37
1952.5	31
1953.5	37
1954.5	31
1955.5	27
1956.5	39
1957.5	32
1958.5	35
1959.5	38
1960.5	43
1961.5	38
1962.5	37
1963.5	38
1964.5	38
1965.5	46
1966.5	31
1967.5	37
1968.5	37
1969.5	40
1970.5	39
1971.5	42
1972.5	52
1973.5	38
1974.5	50
1975.5	36
1976.5	39
1977.5	38
1978.5	52
1979.5	46
1980.5	38
1981.5	50
1982.5	44
1983.5	45
1984.5	51
1985.5	41
1986.5	42
1987.5	50
1988.5	47
1989.5	37
1990.5	51
1991.5	61
1992.5	63
1993.5	55
1994.5	50
1995.5	41
1996.5	48
1997.5	64
1998.5	69
1999.5	57
2000.5	60
2001.5	71
2002.5	83
2003.5	71
2004.5	81
2005.5	81
2006.5	69
2007.5	76
2008.5	81
2009.5	78
2010.5	89
2011.5	74
2012.5	69
2013.5	72
2014.5	81
2015.5	83
2016.5	101
2017.5	78
2018.5	80
2019.5	91
2020.5	92
2021.5	81
2022.5	100
2023.5	90
2024.5	78
2025.5	83
2026.5	83
2027.5	83
2028.5	94
2029.5	89
2030.5	90
2031.5	88
2032.5	90
2033.5	78
2034.5	90
2035.5	83
2036.5	79
2037.5	74
2038.5	79
2039.5	84
2040.5	85
2041.5	83
2042.5	72
2043.5	74
2044.5	86
2045.5	95
2046.5	83
2047.5	92
2048.5	84
2049.5	83
2050.5	95
2051.5	100
2052.5	92
2053.5	101
